First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary
Julie,Harmon,"Morgan, Vasquez and Porter",7685 Jessica Shoal Suite 988,West April,Minnesota,29025,Kid data per hot plan those tonight once.,Berries,05-11-2024,11,Only Once,Health and safety adviser with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-06, 2024-04-09 - 2024-11-05",Health and safety adviser with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 11 units of Berries on 2024-09-06.
Ashley,Colon,"Gilbert, Allen and Gay",75244 Lindsey Pines Apt. 849,Jonathanfort,North Dakota,19150,Move religious worry finish business role fight important over expert attorney protect carry.,Yogurt,19-08-2024,95,Frequent,"Clinical scientist, histocompatibility and immunogenetics with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-07-16, 2024-05-02 - 2024-08-19","Clinical scientist, histocompatibility and immunogenetics with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 95 units of Yogurt on 2024-07-16."
Cameron,Kim,Allen-Thomas,50385 Howard Roads,Carpentermouth,California,33156,Notice employee month moment mother stock audience manage first your.,Milk,12-01-2025,39,Instable,"Accountant, chartered management with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-11-08, 2024-07-16 - 2025-01-12","Accountant, chartered management with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 39 units of Milk on 2024-11-08."
Adam,Diaz,Bauer and Sons,60674 Austin Mountains,Vaughnshire,Delaware,9717,Maybe realize general other range force major seat spend.,Berries,11-11-2024,24,Instable,Merchant navy officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-10, 2024-07-18 - 2024-11-11",Merchant navy officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 24 units of Berries on 2024-10-10.
Joshua,Page,"Oconnor, Perkins and Moreno",716 George River,Lake Nicholasside,Michigan,36354,Dark challenge much east relationship nothing table we message season should assume.,Lettuce,16-12-2024,53,Only Once,Building surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-14, 2024-07-16 - 2024-12-16",Building surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 53 units of Lettuce on 2024-10-14.
Raymond,Reyes,Rojas-Hale,09004 Joshua Village,Lake George,Michigan,19336,Protect people product election spend always another image of move new mother.,Carrots,27-04-2024,29,Instable,Pathologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-18, 2024-03-18 - 2024-04-27",Pathologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 29 units of Carrots on 2024-04-18.
Linda,Glass,"Weber, Simmons and Morgan",312 Thomas Crescent Apt. 930,Lake April,Texas,38658,Employee article relationship goal later professor hand but.,Yogurt,29-06-2025,82,Rare,Rural practice surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-31, 2024-10-08 - 2025-06-29",Rural practice surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 82 units of Yogurt on 2025-03-31.
Gina,Cook,Myers Group,65258 Austin Heights Suite 585,East Stephaniemouth,Florida,71498,Book strategy color party city artist others meeting follow live up reality former.,Spinach,22-06-2024,19,Frequent,Armed forces training and education officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-25, 2024-03-29 - 2024-06-22",Armed forces training and education officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 19 units of Spinach on 2024-05-25.
Carlos,Jimenez,Ellis and Sons,53210 Anthony Isle Suite 436,Petersonland,Delaware,52397,Alone benefit agreement life chair its blood under yard protect majority.,Cheese,16-07-2024,71,Rare,Market researcher with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-29, 2023-12-17 - 2024-07-16",Market researcher with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 71 units of Cheese on 2024-04-29.
Lori,Williams,Reed-Torres,091 Wade Park,Richardview,Ohio,85072,I ability moment organization hotel its carry research tonight.,Cheese,07-04-2025,21,Rare,Insurance underwriter with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-16, 2024-09-25 - 2025-04-07",Insurance underwriter with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 21 units of Cheese on 2025-02-16.
Jeremy,Stephens,"Brady, Gonzalez and Armstrong",8824 Stephanie Crossing,Jessicafurt,New York,73712,Choose fear blue become traditional computer report west its car including guess member.,Cucumbers,27-04-2025,49,Frequent,Product designer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-04-08, 2025-01-20 - 2025-04-27",Product designer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 49 units of Cucumbers on 2025-04-08.
Briana,Ryan,"Turner, Rodriguez and Elliott",6410 Evans Mall Suite 082,Lake Kaylabury,Pennsylvania,16492,Herself model decision left deal enough heart most feel boy also fact agree up.,Apples,18-08-2024,35,Rare,Equities trader with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-05, 2024-01-27 - 2024-08-18",Equities trader with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 35 units of Apples on 2024-06-05.
Kenneth,Hernandez,Scott-Williams,72462 Marie Tunnel,West Pamelafort,Colorado,61157,Hundred indeed under material yes long name meeting adult contain as along right.,Spinach,08-05-2024,42,Rare,Lobbyist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-29, 2023-12-15 - 2024-05-08",Lobbyist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 42 units of Spinach on 2024-04-29.
Joshua,Stanley,Garcia-Jones,96373 Curtis Garden Suite 072,South Joseph,North Carolina,29169,Offer spend general certain region candidate professional management look bit sit call.,Tomatoes,10-04-2025,83,Only Once,"Scientist, clinical (histocompatibility and immunogenetics) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-23, 2024-09-04 - 2025-04-10","Scientist, clinical (histocompatibility and immunogenetics) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 83 units of Tomatoes on 2025-02-23."
William,Wilson,Shelton-Morgan,704 Johnson Highway Suite 732,West Matthew,Mississippi,50922,Size various kitchen wind see include try ever serious education onto who.,Tomatoes,28-02-2025,87,Frequent,Airline pilot with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-07, 2024-10-17 - 2025-02-28",Airline pilot with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 87 units of Tomatoes on 2025-02-07.
Brandy,Jackson,Gonzales PLC,78809 Nguyen Route,West Kristenport,Ohio,76280,Participant school nice to resource those recent north buy.,Tomatoes,02-12-2024,35,Instable,Chiropodist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-14, 2024-09-10 - 2024-12-02",Chiropodist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 35 units of Tomatoes on 2024-10-14.
Brenda,Schwartz,Waller-Hernandez,912 Daniel Route,Lake Lauren,New York,54416,Land box recent or focus yeah.,Carrots,25-11-2024,66,Only Once,Clinical biochemist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-11, 2024-04-20 - 2024-11-25",Clinical biochemist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 66 units of Carrots on 2024-10-11.
William,Benson,Daniels LLC,3248 Mason Square,New Sean,Maryland,93718,Past game yes nature whom past ask relationship.,Carrots,21-07-2024,92,Rare,Advertising account planner with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-22, 2024-02-04 - 2024-07-21",Advertising account planner with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 92 units of Carrots on 2024-04-22.
Matthew,Rogers,Horton PLC,9589 Nguyen Shoal Suite 712,North Erica,Arizona,99049,Pm notice own arrive start enough success door.,Tomatoes,14-04-2025,56,Instable,Immigration officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-16, 2024-10-06 - 2025-04-14",Immigration officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 56 units of Tomatoes on 2025-03-16.
Michael,Russo,Wilson-Jones,54413 Mendoza Point Apt. 364,Lake Jerry,Utah,90885,Mention yeah last represent street take again across.,Yogurt,13-04-2025,24,Frequent,Airline pilot with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-31, 2024-12-24 - 2025-04-13",Airline pilot with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 24 units of Yogurt on 2025-03-31.
Linda,Perez,Nguyen Ltd,232 Daniel Ways,Christopherberg,Alaska,98328,Billion today seat world operation especially exactly top.,Berries,18-10-2024,18,Instable,Curator with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-10, 2024-04-14 - 2024-10-18",Curator with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 18 units of Berries on 2024-10-10.
Kristin,Jones,"David, Hamilton and Suarez",97158 Amber Rapids,Leeborough,Michigan,57890,Glass effort gas according suffer dinner.,Cheese,19-04-2025,89,Frequent,Dealer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-10, 2025-01-24 - 2025-04-19",Dealer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 89 units of Cheese on 2025-03-10.
Sean,Crawford,Allen Group,43072 Jimmy Station Suite 124,Lake Brittanyburgh,Minnesota,77529,Instead TV return bar themselves voice per least attack data.,Tomatoes,18-04-2025,61,Rare,Corporate investment banker with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-29, 2024-12-04 - 2025-04-18",Corporate investment banker with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 61 units of Tomatoes on 2025-03-29.
Jasmin,Mendez,"Scott, Austin and Martinez",39343 Ashley Shore,North Amandaview,Illinois,53005,Here authority body wide remember door choice night expect business reality.,Cucumbers,13-05-2024,42,Only Once,"Designer, furniture with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-04-15, 2023-12-30 - 2024-05-13","Designer, furniture with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 42 units of Cucumbers on 2024-04-15."
Kelly,Montoya,Hoover Group,478 Alexander Knoll Apt. 217,Jamieport,Massachusetts,66746,Ability until marriage reveal interesting subject others shake class simply difference certainly song.,Cheese,16-03-2025,4,Frequent,Theatre stage manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-12-17, 2024-08-26 - 2025-03-16",Theatre stage manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 4 units of Cheese on 2024-12-17.
Melissa,Richardson,Wheeler-Holt,3522 Bradley Club Apt. 821,North Ian,Pennsylvania,86910,Court weight perform half stage born.,Carrots,17-01-2025,30,Only Once,Insurance claims handler with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-01-09, 2024-08-22 - 2025-01-17",Insurance claims handler with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 30 units of Carrots on 2025-01-09.
Morgan,Hanson,Watson-Bailey,978 Ferguson Springs Suite 948,Martinezmouth,Delaware,80309,Only source baby interview summer of able head admit technology production same.,Spinach,05-02-2025,55,Only Once,Air cabin crew with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-12-16, 2024-09-30 - 2025-02-05",Air cabin crew with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 55 units of Spinach on 2024-12-16.
Gary,Porter,Leonard Ltd,1441 Morrison Estate,West Michelle,California,37186,Box generation bag fly hand fund huge.,Berries,19-08-2024,6,Frequent,Dancer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-08-07, 2024-03-12 - 2024-08-19",Dancer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 6 units of Berries on 2024-08-07.
Darlene,Green,Williams-Carlson,67675 Cook Mountain Suite 250,Batesmouth,California,12497,He for challenge represent man possible between window much this per.,Milk,19-10-2024,13,Instable,"Therapist, art with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-07-25, 2024-02-10 - 2024-10-19","Therapist, art with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 13 units of Milk on 2024-07-25."
Audrey,Graham,"Jackson, Fisher and Fox",55665 Gilbert Fields Suite 815,West Louisfurt,North Carolina,61411,Health to interesting small imagine part behavior sort plan free.,Spinach,17-10-2024,97,Instable,"Accountant, chartered certified with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-07-25, 2024-02-25 - 2024-10-17","Accountant, chartered certified with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 97 units of Spinach on 2024-07-25."
Cameron,Brown,Roberson PLC,0774 Poole Extension,Anahaven,Delaware,48847,Condition themselves against center strong four hold staff describe prevent quality.,Cucumbers,17-08-2024,1,Rare,Comptroller with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-21, 2024-04-08 - 2024-08-17",Comptroller with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 1 units of Cucumbers on 2024-06-21.
Alexander,Villarreal,Taylor-Rasmussen,546 Lee Extensions,Charlesstad,Massachusetts,71515,Left discuss art pretty professor this run food nation across.,Berries,06-04-2025,25,Frequent,"Development worker, community with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-09, 2025-01-10 - 2025-04-06","Development worker, community with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 25 units of Berries on 2025-02-09."
Jacob,Griffin,Brown-Hobbs,4556 James Overpass Apt. 119,South Christopher,Indiana,4821,Write huge so next trouble benefit also goal.,Berries,16-07-2024,57,Only Once,Surgeon with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-23, 2024-05-18 - 2024-07-16",Surgeon with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 57 units of Berries on 2024-06-23.
Amanda,Curry,Bass-Carpenter,77691 Taylor Valleys Apt. 786,New Dakotatown,Florida,13368,Show break many skill old court theory.,Tomatoes,25-03-2025,84,Only Once,Radiation protection practitioner with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-17, 2024-12-10 - 2025-03-25",Radiation protection practitioner with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 84 units of Tomatoes on 2025-03-17.
Joshua,Pierce,Hall and Sons,0949 Rodriguez Village,East Sonyaland,Mississippi,29256,Story look ahead test participant issue food lose seem majority character social sure.,Milk,22-08-2024,25,Frequent,Geoscientist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-21, 2024-03-12 - 2024-08-22",Geoscientist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 25 units of Milk on 2024-06-21.
Allison,Stokes,Martin-King,852 Reyes Garden Suite 608,East Katherinehaven,Maryland,15302,Available us apply rather mouth yeah long game you us.,Yogurt,11-02-2025,70,Instable,Clinical embryologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-15, 2024-07-28 - 2025-02-11",Clinical embryologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 70 units of Yogurt on 2024-11-15.
Michael,Anderson,Garcia-Jones,49366 Sims Junction,Lake Christopher,Alaska,34821,Garden fly fire team avoid American study generation animal difficult series dream.,Apples,24-09-2024,93,Instable,Land/geomatics surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-23, 2024-06-23 - 2024-09-24",Land/geomatics surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 93 units of Apples on 2024-07-23.
Alyssa,Cohen,Hill Group,8387 King Lodge Suite 602,East Christianburgh,Illinois,9609,Race ahead several really part spend goal.,Apples,06-12-2024,69,Only Once,"Psychologist, forensic with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-09-14, 2024-06-14 - 2024-12-06","Psychologist, forensic with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 69 units of Apples on 2024-09-14."
Kimberly,Bush,Graham Ltd,770 Kennedy Trail,Cynthiashire,Missouri,24078,High people respond main information team force fight although.,Cheese,29-05-2025,84,Rare,"Engineer, maintenance with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-03-21, 2024-12-18 - 2025-05-29","Engineer, maintenance with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 84 units of Cheese on 2025-03-21."
Lisa,Hess,Tapia-Brown,93771 Johnson Plain,Samanthamouth,New Mexico,35477,Force space out day business carry present politics bad.,Apples,10-11-2024,15,Frequent,Professor Emeritus with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-02, 2024-06-13 - 2024-11-10",Professor Emeritus with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 15 units of Apples on 2024-09-02.
Stacie,Hicks,Miller-Murphy,84105 Juarez Pike,East Amandaland,Maryland,89057,Wide black color author enjoy bar system education also common alone heart.,Apples,08-05-2025,49,Frequent,Social worker with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-04-06, 2024-10-28 - 2025-05-08",Social worker with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 49 units of Apples on 2025-04-06.
Katherine,Smith,"Luna, Carr and Avila",387 Kendra Land Suite 705,Bestport,New York,75018,Country safe coach factor pay coach quality second foot drive open single.,Cucumbers,27-03-2025,39,Only Once,Aeronautical engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-01-07, 2024-10-06 - 2025-03-27",Aeronautical engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 39 units of Cucumbers on 2025-01-07.
Diana,Harvey,"White, Jones and Henry",90533 Bethany Divide,Smithland,Maine,55590,Listen page would arm thank lawyer trouble specific attention but chair early majority.,Spinach,03-04-2025,56,Frequent,Insurance risk surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-01-10, 2024-09-12 - 2025-04-03",Insurance risk surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 56 units of Spinach on 2025-01-10.
Julian,Castillo,Kennedy-Lane,2156 Rivas Islands,South Amberton,Wyoming,48364,South agency us control nation identify discover.,Lettuce,26-05-2024,62,Rare,Herbalist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-28, 2024-01-12 - 2024-05-26",Herbalist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 62 units of Lettuce on 2024-04-28.
Emily,Ward,King-Whitaker,99369 Craig Walk Apt. 274,Lake Robert,New Jersey,29439,Election often word hair network yourself.,Lettuce,16-09-2024,34,Frequent,Games developer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-19, 2024-04-03 - 2024-09-16",Games developer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 34 units of Lettuce on 2024-06-19.
Jeffrey,Poole,Maldonado PLC,35999 Knight Crossroad,Youngland,Wisconsin,86725,Lead reach drug morning reduce team never despite.,Apples,21-08-2024,61,Rare,"Conservation officer, nature with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-07-04, 2024-01-16 - 2024-08-21","Conservation officer, nature with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 61 units of Apples on 2024-07-04."
Christopher,Williams,"Moore, Ramos and Mercer",455 Pamela Fort,Juliefurt,Idaho,3642,Practice movie table often write environment in range.,Yogurt,19-09-2024,84,Frequent,Waste management officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-22, 2024-05-05 - 2024-09-19",Waste management officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 84 units of Yogurt on 2024-07-22.
Brandon,Garcia,"Schneider, Norris and Barrett",5800 Selena Courts Suite 464,Port Allison,Oklahoma,76795,Month attorney guess recent yourself many reach.,Berries,29-03-2025,85,Instable,"Scientist, research (maths) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-02, 2024-09-12 - 2025-03-29","Scientist, research (maths) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 85 units of Berries on 2025-02-02."
Stacy,Jackson,Martin LLC,03428 Allen Circle Apt. 907,Onealtown,Alaska,31848,Hard miss see about late sell drive and quality.,Carrots,12-06-2024,53,Rare,"Engineer, production with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-05-27, 2023-12-20 - 2024-06-12","Engineer, production with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 53 units of Carrots on 2024-05-27."
Richard,Howard,Perez-Rodriguez,7743 Audrey River,Gonzalezview,New Jersey,47155,Social old whose whether smile century behind sure suddenly wrong site notice thus.,Berries,03-04-2025,28,Rare,Mining engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-24, 2024-09-06 - 2025-04-03",Mining engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 28 units of Berries on 2025-02-24.
Christina,Brown,Kim and Sons,2998 Gonzalez Mountains,Port Charlesbury,Delaware,69986,Raise reason school say first decide term finally health worry.,Apples,04-10-2024,94,Instable,Systems analyst with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-08-05, 2024-03-09 - 2024-10-04",Systems analyst with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 94 units of Apples on 2024-08-05.
Bryan,Bray,"White, Mack and Sanchez",501 Douglas Plains Suite 765,Lake David,Kansas,5524,Run never lead change me bring couple heart right like individual decade.,Milk,08-10-2024,57,Instable,IT technical support officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-08-28, 2024-03-06 - 2024-10-08",IT technical support officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 57 units of Milk on 2024-08-28.
Jackie,Johnson,"Hill, Gibson and Cordova",58944 Espinoza Gardens,Port Elizabethville,New Hampshire,52147,Instead understand identify author go anything themselves commercial involve mind hotel.,Berries,09-03-2025,27,Only Once,Art therapist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-23, 2024-12-07 - 2025-03-09",Art therapist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 27 units of Berries on 2025-02-23.
Chelsea,Soto,Carpenter-Phillips,54374 Burke Land Apt. 823,South Brettbury,Delaware,47168,Child everyone wide government employee spring travel issue new.,Spinach,01-04-2025,36,Rare,Public house manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-01-25, 2024-10-05 - 2025-04-01",Public house manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 36 units of Spinach on 2025-01-25.
Brittney,Jones,Wilkins-Gomez,6317 Burgess Hollow,Kristinchester,Virginia,87073,Stage hotel follow memory throughout very these word tree commercial compare produce west.,Spinach,31-07-2024,1,Rare,Dancer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-09, 2024-03-16 - 2024-07-31",Dancer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 1 units of Spinach on 2024-07-09.
Christopher,Saunders,Lopez Group,729 James Causeway,East Franklinhaven,Connecticut,81901,Enough month special more prevent run second continue nice news well.,Yogurt,20-08-2024,53,Instable,Pension scheme manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-03, 2024-04-04 - 2024-08-20",Pension scheme manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 53 units of Yogurt on 2024-06-03.
Michael,Perry,Reilly-Rangel,468 Terri Square Apt. 723,Steinchester,New Mexico,67423,Over conference exist happy option west less crime stay likely your customer.,Carrots,11-03-2025,97,Rare,"Engineer, civil (contracting) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-26, 2024-12-20 - 2025-03-11","Engineer, civil (contracting) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 97 units of Carrots on 2025-02-26."
Teresa,Stafford,Garcia-Brewer,4704 Kimberly Knoll,Williambury,Vermont,20998,Ask risk main trouble garden collection cost describe camera growth race.,Milk,11-02-2025,45,Frequent,Orthoptist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-01-05, 2024-09-04 - 2025-02-11",Orthoptist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 45 units of Milk on 2025-01-05.
Veronica,Moore,"Griffith, Wolfe and Riley",91596 Erickson Expressway Apt. 137,Lake Adamton,Maryland,10546,None thought cold her foot ago individual.,Spinach,12-09-2024,14,Rare,Tourist information centre manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-19, 2024-04-19 - 2024-09-12",Tourist information centre manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 14 units of Spinach on 2024-07-19.
Kaitlyn,Jones,Knox Ltd,34800 Copeland Mills,East Heather,Michigan,99560,Artist son thousand until bring heart.,Lettuce,10-05-2024,51,Only Once,Environmental education officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-26, 2023-11-09 - 2024-05-10",Environmental education officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 51 units of Lettuce on 2024-04-26.
Suzanne,Henderson,Lamb LLC,69917 Lane Drive,South Lisa,Idaho,88736,Health store policy way stock most.,Lettuce,22-03-2025,50,Rare,"Production assistant, radio with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-20, 2024-10-16 - 2025-03-22","Production assistant, radio with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 50 units of Lettuce on 2025-02-20."
Michelle,Harper,Cobb-Ford,511 Young Harbors Suite 807,Jenniferton,Illinois,3526,Since quality money likely executive at.,Yogurt,08-02-2025,77,Rare,Materials engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-15, 2024-08-02 - 2025-02-08",Materials engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 77 units of Yogurt on 2024-11-15.
